Category,Item Name,Quantity,2022-07-21
DMart Grocery,Sugar,1,43.8
DMart Grocery,Cow Ghee,1,535.0
DMart Grocery,Rice Bran Oil,1,170.0
DMart Grocery,Almond,1,730.0
DMart Grocery,Groundnut,1,168.0
DMart Grocery,Flattened rice,1,50.0
DMart Grocery,Cumin,1,375.0
DMart Grocery,Cashews,1,920.0
DMart Grocery,Sago,1,68.0
DMart Grocery,Walnut Kernels,1,1720.0
DMart Grocery,Cardamom,1,2360.0
DMart Grocery,Raisin,1,292.0
DMart Grocery,Coconut,1,298.0
DMart Grocery,pistachio,1,1460.0
DMart Grocery,Black Pepper,1,870.0
DMart Grocery,Coriander,1,270.0
DMart Grocery,Cashews,1,975.0
DMart Grocery,Chilli Powder,1,450.0
DMart Grocery,Pistachios,1,2350.0
DMart Grocery,asafoetida,1,990.0
DMart Grocery,Fennel ,1,335.0
DMart Grocery,Black Mustard Seeds,1,160.0
DMart Grocery,Chilli Powder,1,436.0
DMart Grocery, Dry Fruits,1,490.0
DMart Grocery,Cassia Cinnamon,1,900.0
DMart Grocery,turmeric,1,150.0
DMart Grocery,asafoetida,1,590.0
DMart Grocery,Coriander,1,160.0
DMart Grocery,Celery,1,490.0
DMart Grocery,Cashew,1,818.0
DMart Grocery,Tamarind,1,180.0
DMart Grocery,Mustard,1,130.0
DMart Grocery,Flattened rice,1,54.0
DMart Grocery,Cashew,1,844.0
DMart Grocery,sesame,1,190.0
DMart Grocery,Coconut,1,255.0
DMart Grocery,almond,1,2440.0
DMart Grocery,soy bean,1,165.0
DMart Grocery,Fennel,1,330.0
DMart Grocery,poppy seeds,1,2100.0
DMart Grocery,Cashew,1,970.0
DMart Grocery,Cardamom,1,1400.0
DMart Grocery,European anise,1,1360.0
DMart Grocery,Chilli,1,440.0
DMart Grocery,Fennel,1,240.0
DMart Grocery,clove ,1,1550.0
DMart Grocery,Cardamom,1,1400.0
DMart Grocery,Raisin,1,475.0
DMart Grocery,roasted coriander ,1,420.0
DMart Grocery,Dates,1,330.0
DMart Grocery,Flattened rice,1,92.0
DMart Grocery,Chilli,1,190.0
DMart Grocery,Dried fenugreek leaves,1,350.0
DMart Grocery,fenugreek,1,150.0
DMart Grocery, sweet basil seeds,1,400.0
DMart Grocery,Cumin powder,1,300.0
DMart Grocery,tapioca pearl,1,70.0
DMart Grocery,Piper nigrum,1,850.0
DMart Grocery,yellow gram,1,140.0
DMart Grocery,Cumin,1,700.0
DMart Grocery,Raisin,1,340.0
DMart Grocery,apricot,1,610.0
DMart Grocery,Linseed,1,150.0
DMart Grocery,Chilli,1,660.0
DMart Grocery,Apricot,1,1000.0
DMart Grocery,Celery,1,470.0
DMart Grocery,Chilli,1,720.0
DMart Grocery,Allspice and Cumin,1,510.0
DMart Grocery,Mace,1,5200.0
DMart Grocery,Coconut,1,300.0
DMart Grocery,Figs,1,1240.0
DMart Grocery,Indian bay leaf,1,300.0
DMart Grocery,Cardamom,1,1450.0
